Unnamed: 0,Authors,Title,Year,Link,Authors with Affiliations,Abstract
0,Eric Allamanche,Content-based Identification of Audio Material Using MPEG-7 Low Level Description.,2001,https://doi.org/10.5281/zenodo.1417853,"Eric Allamanche, Fraunhofer IIS-A;Bernhard Fröba, Fraunhofer IIS-A;Jürgen Herre, Fraunhofer IIS-A;Thorsten Kastner, Fraunhofer IIS-A;Oliver Hellmuth, Fraunhofer IIS-A;Markus Cremer, Fraunhofer IIS-A / AEMT","Along with investigating similarity metrics between audio material, the topic of robust matching of pairs of audio content has gained wide interest recently. In particular, if this matching process is carried out using a compact representation of the audio content (""audio fingerprint""), it is possible to identify unknown audio material by means of matching it to a database with the fingerprints of registered works. This paper presents a system for reliable, fast and robust identification of audio material which can be run on the resources provided by today's standard computing platforms. The system is based on a general pattern recognition paradigm and exploits low level signal features standardized within the MPEG-7 framework, thus enabling interoperability on a world-wide scale. Compared to similar systems, particular attention is given to issues of robustness with respect to common signal distortions, i.e. recognition performance for processed/modified audio signals. The system's current performance figures are benchmarked for a range of real-world signal distortions, including low bitrate coding and transmission over an acoustic channel. A number of interesting applications are discussed."
1,Jérôme Barthélemy,Figured Bass and Tonality Recognition.,2001,https://doi.org/10.5281/zenodo.1417161,"Jerome Barthélemy, Ircam;Alain Bonardi, Ircam","In the course of the WedelMusic project, the authors are implementing retrieval engines based on musical content extracted from a musical score. This includes main melodic motives, harmony, and tonality. The paper reviews previous research in harmonic analysis of tonal music and presents a method for automated harmonic analysis based on the extraction of a figured bass. The figured bass is determined using a template-matching algorithm, and tonality recognition is addressed using a simple algorithm based on the figured bass. The limitations of the method are discussed, and results are compared to previous research. Potential uses for Music Information Retrieval are also discussed."
2,William P. Birmingham,MUSART: Music Retrieval Via Aural Queries.,2001,https://doi.org/10.5281/zenodo.1415810,"William P. Birmingham, University of Michigan;Roger B. Dannenberg, Carnegie Mellon University;Gregory H. Wakefield, University of Michigan;Mark Bartsch, University of Michigan;David Bykowski, University of Michigan;Dominic Mazzoni, University of Michigan;Colin Meek, University of Michigan;Maureen Mellody, University of Michigan;William Rand, University of Michigan","MUSART is a research project developing and studying new techniques for music information retrieval. The MUSART architecture uses a variety of representations to support multiple search modes. Progress is reported on the use of Markov modeling, melodic contour, and phonetic streams for music retrieval. To enable large-scale databases and more advanced searches, musical abstraction is studied. The MME subsystem performs theme extraction, and two other analysis systems are described that discover structure in audio representations of music. Theme extraction and structure analysis promise to improve search quality and support better browsing and “audio thumbnailing.” Integration of these components within a single architecture will enable scientific comparison of different techniques and, ultimately, their use in combination for improved performance and functionality."
3,Arbee L. P. Chen,Building a Platform for Performance Study of Various Music Information Retrieval Approaches.,2001,https://doi.org/10.5281/zenodo.1414822,"Jia-Lien Hsu, Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan 300, R.O.C.;Arbee L.P. Chen, Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan 300, R.O.C.","In this paper, we describe the Ultima project which aims to construct a platform for evaluating various approaches of music information retrieval. Three approaches with the corresponding tree-based, list-based, and (n-gram+tree)-based index structures are implemented. A series of experiments has been carried out. With the support of the experiment results, we compare the performance of index construction and query processing of the three approaches and give a summary for efficient content-based music information retrieval."
4,Roger B. Dannenberg,Music Information Retrieval as Music Understanding.,2001,https://doi.org/10.5281/zenodo.1418263,"Roger B. Dannenberg, Carnegie Mellon University","Much of the difficulty in Music Information Retrieval can be traced to problems of good music representations, understanding music structure, and adequate models of music perception. In short, the central problem of Music Information Retrieval is Music Understanding, a topic that also forms the basis for much of the work in the fields of Computer Music and Music Perception. It is important for all of these fields to communicate and share results. With this goal in mind, the author’s work on Music Understanding in interactive systems, including computer accompaniment and style recognition, is discussed."
5,Shyamala Doraisamy,An Approach Towards A Polyphonic Music Retrieval System.,2001,https://doi.org/10.5281/zenodo.1415622,"Shyamala Doraisamy, Dept. of Computing, Imperial College;Stefan M Rüger, Dept. of Computing, Imperial College","Most research on music retrieval systems is based on monophonic musical sequences. In this paper, we investigate techniques for a full polyphonic music retrieval system. A method for indexing polyphonic music data files using the pitch and rhythm dimensions of music information is introduced. Our strategy is to use all combinations of monophonic musical sequences from polyphonic music data. ‘Musical words’ are then obtained using the n-gram approach enabling text retrieval methods to be used for polyphonic music retrieval. Here we extend the n-gram technique to encode rhythmic as well as interval information, using the ratios of onset time differences between two adjacent pairs of pitch events. In studying the precision in which intervals are to be represented, a mapping function is formulated in dividing intervals into smaller classes. To overcome the quantisation problems that arise with using rhythmic information from performance data, an encoding mechanism using ratio bins is also adopted. We present results from retrieval experiments with a database of 3096 polyphonic pieces."
6,Matthew J. Dovey,A Technique for Regular Expression Style Searching in Polyphonic Music.,2001,https://doi.org/10.5281/zenodo.1416140,"Matthew J. Dovey, Visiting Research Fellow, Dept. of Computer Science, Kings College, London","This paper discusses ongoing investigative work on integrating two systems as part of the NSF/JISC funded OMRAS project into polyphonic searching of music. It describes a simple and efficient algorithm for locating a polyphonic query within a large polyphonic text and ways in which this algorithm can be modified to allow more freedom in how a match is made, allowing queries involving polyphonic regular expressions to be located in the text."
7,Michael Droettboom,Expressive and Efficient Retrieval of Symbolic Musical Data.,2001,https://doi.org/10.5281/zenodo.1417741,"Michael Droettboom, The Peabody Institute, The Johns Hopkins University;Ichiro Fujinaga, The Peabody Institute, The Johns Hopkins University;Karl MacMillan, The Peabody Institute, The Johns Hopkins University;Mark Patton, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University;James Warner, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University;G. Sayeed Choudhury, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University;Tim DiLauro, Digital Knowledge Center, Milton S. Eisenhower Library, The Johns Hopkins University","The ideal content-based musical search engine for large corpora must be both expressive enough to meet the needs of a diverse user base and efficient enough to perform queries in a reasonable amount of time. In this paper, we present such a system, based on an existing advanced natural language search engine. In our design, musically meaningful searching is simply a special case of more general search techniques. This approach has allowed us to create an extremely powerful and fast search engine with minimal effort."
8,Adriane Durey,Melody Spotting Using Hidden Markov Models.,2001,https://doi.org/10.5281/zenodo.1415680,"Adriane Swalm Durey, Center for Signal and Image Processing, School of Electrical and Computer Engineering, Georgia Institute of Technology;Mark A. Clements, Center for Signal and Image Processing, School of Electrical and Computer Engineering, Georgia Institute of Technology","Melody spotting is an important task in music information retrieval. In this paper, we propose a melody spotting system based on hidden Markov models (HMMs). We use a set of acoustic features to model the melodic patterns in music recordings. Experimental results show that our proposed system achieves high accuracy in detecting the presence of a melody in music recordings."
9,Ludger Hofmann-Engl,Towards a Cognitive Model of Melodic Similarity.,2001,https://doi.org/10.5281/zenodo.1417359,"Ludger Hofmann-Engl, Keele University UK","In recent years, there has been increased interest in melodic similarity due to the importance of music information retrieval (MIR). However, little attention has been paid to cognitive or perceptual aspects of melodic similarity. This paper proposes a cognitive model of melodic similarity, focusing on the pitch aspect and suggesting the use of a term called ""meloton"" instead of pitch. The paper suggests approaching melotonic similarity from a transformational angle, where transformations are executed as reflections and translations. The paper concludes that melotonic similarity is a multi-faceted phenomenon that requires the development of flexible models."
