conference_index,Authors,Title,Year,Link,Authors with Affiliations,Abstract,first_country,first_aff_cat,first_aff_cat_UN,title_tsne_2d,abstract_tsne_2d,title_tsne_3d,abstract_tsne_3d,title_umap_2d,abstract_umap_2d,title_umap_3d,abstract_umap_3d
15,Perfecto Herrera-Boyer;Xavier Amatriain;Eloi Batlle;Xavier Serra,Towards Instrument Segmentation for Music Content Description: a Critical Review of Instrument Classification Techniques.,2000,https://doi.org/10.5281/zenodo.1416768,Perfecto Herrera+Audiovisual Institute - Pompeu Fabra University>ESP>education;Xavier Amatriain+Audiovisual Institute - Pompeu Fabra University>ESP>education;Eloi Batlle+Audiovisual Institute - Pompeu Fabra University>ESP>education;Xavier Serra+Audiovisual Institute - Pompeu Fabra University>ESP>education,"A system capable of describing the musical content of any kind of sound file or sound stream, as it is supposed to be done in MPEG7-compliant applications, should provide an account of the different moments where a certain instrument can be listened to. In this paper we concentrate on reviewing the different techniques that have been so far proposed for automatic classification of musical instruments. As most of the techniques to be discussed are usable only in ""solo"" performances we will evaluate their applicability to the more complex case of describing sound mixes. We conclude this survey discussing the necessity of developing new strategies for classifying sound mixes without a priori separation of sound sources.",ESP,education,Developed economies,"[9.638732, -22.524591]","[10.469433, -10.670507]","[13.665941, -6.8779383, -0.7025985]","[10.8167715, -2.1155171, -7.8257227]","[8.927084, 7.129373]","[8.505183, 3.859205]","[11.16401, 12.559836, 0.4202104]","[10.130916, 7.7189746, 10.110913]"
33,Alexandra L. Uitdenbogerd;Justin Zobel,Music Ranking Techniques Evaluated.,2000,https://doi.org/10.5281/zenodo.1414990,Alexandra L. Uitdenbogerd+RMIT University>AUS>education;Justin Zobel+RMIT University>AUS>education,"Several techniques have been proposed for matching melody queries to stored music. In previous work [2], we found that local alignment, a technique derived from bioinformatics, was more effective than the n-gram methods derived from information retrieval that are used in other work. In this paper we explore a broader range of n-gram techniques, and test them with both manual queries and queries automatically extracted from MIDI files. Our experiments show that alternative - indeed, simpler - n-gram matching techniques than those tested in earlier work can be as effective as local alignment; one highly effective technique is to simply count the number of 5-grams in common between query and stored piece of music. N-grams are particularly effective for short queries and manual queries, while local alignment is superior for the automatic queries. In our experiments we have used a database of 10 466 standard MIDI files down loaded from the internet. These were processed to extract their melodies as described in [1]. In that earlier paper, we used volunteer listeners to judge a small set of extracted melodies. We discovered that our simple algorithm that chooses notes starting at each instance to be melody notes and that we have named all mono, was the most successful in extracting melodies. However, we continued to test all of our melody extraction algorithms in our second paper [2] in the context of melodic similarity measurement. In this experiment we used three methods of melodic standardisation to produce the representations that would be used for matching. They were: contour, which uses a three-symbol alphabet to represent where a melody goes up, down or stays the same; modulo-12 interval (pitch distance between notes), which keeps the size of intervals and their direction but reduced to one octave; and exact interval, which keeps the exact interval size and direction. All these represented pitch information only. A set of 28 automatically extracted melody queries were used to locate other versions of the same piece of music. The results were evaluated by computing the eleven-point precision average and the precision at a recall level of 20. Again the all mono method was successful, as were the entropy channel and all channels methods. The entropy channel method applies the all mono technique to each channel and then selects the melody channel based on its first order predictive entropy. The all channels technique also applies the all mono algorithm to each channel and then retains them all for the matching process. In addition, we confirmed that contour was insufficient for good matching, but that the use of interval sequences worked well. Queries of 30 intervals produced good answers. The similarity measurement techniques tested were local alignment, longest common subsequence, an n-gram counting technique that included the frequency of occurrence of each n-gram, and the Ukkonen n-gram measure. Local alignment was a clear winner. However, local alignment is a slow technique. It would be useful to have a good n-gram-based technique as indexes can be built to speed up matches. This led to our current exploration of n-grams. In this current set of experiments we used the same experimental framework as that used in [2], but also tested a set of manually produced queries. These manual queries were created by a classically trained pianist with perfect pitch, who listened to the source MI DI files and played a melodic fragment to represent each piece. We explored the variables of n-gram length, n-gram counting method, song-length normalisation, melody extraction and query length. The results clearly showed that n-grams of length five work best using the count distinct method, where term",AUS,education,Developed economies,"[-21.08313, 19.704937]","[11.746189, 14.645237]","[-11.124107, 4.015583, -3.8157134]","[7.405152, -9.796072, 11.801821]","[13.803839, 8.953736]","[9.071015, 0.720461]","[14.181225, 14.754733, -1.2784551]","[10.562432, 6.0801897, 13.047316]"
32,Alexandra L. Uitdenbogerd,"Music IR: Past, Present, and Future.",2000,https://doi.org/10.5281/zenodo.1417545,Alexandra L. Uitdenbogerd+RMIT University>AUS>education;Abhijit Chattaraj+RMIT University>AUS>education;Justin Zobel+RMIT University>AUS>education,"Music Information Retrieval has a longer history than most people realise, with systems developed in the 1960's. The field has its roots in information retrieval, musicology and music psychology. Information retrieval has provided us with a framework for evaluating retrieval systems. Musicologists have applied various techniques to measure stylistic parameters of composers and general similarity of musical works. Music perception research has taught us that contour is the most important feature of melody for listeners (Dowling 1978). Precursors to computerised music IR are the incipit and theme indexes such as Barlow and Morganstern's dictionary of musical themes (Barlow and Morganstern 1948), however, on-line collections with incipit indexes were soon to follow (for example Hudson 1970). The current trend in music IR research has been to develop systems that allow the location of answers to queries presented as hummed melodies, or entered in some other way. The earliest system we have found was that developed by Yamamoto in 1988, which only allowed exact matches (Kageyama et al 1993). The nineties have shown a rapid increase in music IR research, with systems papers being published every year since 1993 and more than a dozen published in 1998 (eg. Uitdenbogerd and Zobel 1998, Blackburn and de Roure1998, Hewlett and Selfridge-Field 1998). In addition, interesting developments have occurred in the field of audio retrieval. Despite this growth of interest in the field, the comparison of systems is difficult because of the lack of a common data set, queries, or relevance judgements. MIR systems can be evaluated in a similar manner to other systems. As with traditional IR, we need to decide what is a query, what is an answer, and what is meant by relevance, that is, what constitutes similarity. The usual definition of an ad hoc music query is a melody fragment consisting of a sequence of notes. The relevance of answers produced by a system will depend on the user's need. For example, relevant answers for a search for copyright similarity may be different to those for a user who half remembers a song. In earlier work, we collected queries and relevance judgements from a collection of 10,466 MIDI files by assuming that alternative arrangements or performances of a piece chosen as a query were relevant, and used these to measure effectiveness with the standard techniques of eleven-point precision averages and precision at k pieces retrieved. These were used to determine which matching techniques were most successful. Whether these relevance judgements correspond to - or yield the same ranking of techniques as - human relevance judgements was an open question. In recent work, we collected manual queries by having an expert musician listen to MIDI files and create a melodic query for each file. The files were selected so as to allow comparison with our earlier work with automatic queries and relevance assessments. We also developed a system for collecting music relevance judgements from listeners to permit a more established approach to system evaluation. Users were presented with a MIDI file melody and were required to determine whether each answer was highly similar or not.",AUS,education,Developed economies,"[-29.916534, 34.342907]","[15.498054, 12.642212]","[-25.811138, 6.9877872, -11.399521]","[3.8832886, -1.6280199, 12.352969]","[14.455782, 8.034402]","[9.732415, 1.043556]","[14.684289, 14.390193, -1.9501102]","[11.1236, 6.1265793, 12.731263]"
29,Jochen Schimmelpfennig;Frank Kurth,MCML - Music Contents Markup Language.,2000,https://doi.org/10.5281/zenodo.1415526,Jochen Schimmelpfennig+University of Bonn>DEU>education;Frank Kurth+University of Bonn>DEU>education,"We present an XML-based description interface for various types of musical contents - MCML, Music Contents Markup Language. An application of MCML currently developed within our group is a music browser system which enables a content based navigation in digital music files. Another major application of a music contents annotation interface is the description and handling of query results to digital music libraries.",DEU,education,Developed economies,"[8.55994, 27.276123]","[3.86474, 39.77771]","[-14.357376, -9.850958, 15.875904]","[-8.290957, -7.412841, 21.34302]","[13.440669, 7.069021]","[10.175561, 0.14743622]","[13.961083, 12.947972, -1.738012]","[10.785785, 4.7973075, 12.033606]"
28,Perry Roland,XML4MIR: Extensible Markup Language for Music Information Retrieval.,2000,https://doi.org/10.5281/zenodo.1417167,Perry Roland+University of Virginia>USA>education,This paper evaluates the role of standards in information exchange and suggests the adoption of XML standards for music representation and meta-data to serve as the basis for music information retrieval.,USA,education,Developed economies,"[-12.428668, 27.349113]","[4.523566, 40.609066]","[-12.267823, 2.5963495, -13.674577]","[-7.4384623, -6.9264126, 23.506878]","[13.698008, 7.237609]","[10.374798, 0.14874618]","[13.995171, 13.425606, -1.8946698]","[10.958243, 4.7616854, 12.07949]"
27,Jeremy Pickens,A Comparison of Language Modeling and Probabilistic Text Information Retrieval Approaches to Monophonic Music Retrieval.,2000,https://doi.org/10.5281/zenodo.1415100,Jeremy Pickens+University of Massachusetts>USA>education,"With interest in music information retrieval increasing the need for retrieval systems unique to music is also growing. Despite its unique properties music shares many similarities with text. The goal of this paper is to explore some of the capabilities and limitations of current text information retrieval systems as applied to the task of music retrieval. Monophonic music is converted into text and retrieval experiments are run using two different text information retrieval systems in various configurations. Finally, we will discuss whether the techniques applied here are generalizable to the larger problem of polyphonic music retrieval.",USA,education,Developed economies,"[-13.038134, 18.647131]","[14.944968, 16.52254]","[-3.2039807, 3.349462, -12.708741]","[5.770429, -6.2460065, 11.230106]","[13.518663, 8.207725]","[9.621892, 0.95592177]","[13.495509, 14.665608, -1.7283866]","[11.060715, 6.0096354, 12.776555]"
26,Donald MacLellan;Carola Boehm,MuTaTeD'll: A System for Music Information Retrieval of Encoded Music.,2000,https://doi.org/10.5281/zenodo.1417755,Donald MacLellan+University of Glasgow>GBR>education;Carola Boehm+University of Glasgow>GBR>education,"""MuTaTeD'II started in November 1999, building on the results of the MuTaTeD project. Its aim is to design and implement a music information retrieval system with delivery/access services for encoded music. The prototype service will provide a user friendly, web-based search/browse/query interface to access musical content.""",GBR,education,Developed economies,"[-17.268696, 20.388]","[20.070362, 29.438957]","[-9.068663, 4.264379, -10.429024]","[1.994815, -2.9709115, 17.597]","[13.752458, 7.6873426]","[10.784867, 0.5124417]","[13.876815, 14.333927, -1.8784826]","[11.654167, 4.942326, 12.448415]"
24,Karen Lin;Tim Bell,Integrating Paper and Digital Music Information Systems.,2000,https://doi.org/10.5281/zenodo.1416544,Karen Lin+University of Canterbury>NZL>education;Tim Bell+University of Canterbury>NZL>education,"Active musicians generally rely on extensive personal paper-based music information retrieval systems containing scores, parts, compositions, and arrangements of published and hand-written music. Many have a bias against using computers to store, edit and retrieve music, and prefer to work in the paper domain rather than using digital documents, despite the flexibility and powerful retrieval opportunities available. In this paper we propose a model of operation that blurs the boundaries between the paper and digital domains, offering musicians the best of both worlds. A survey of musicians identifies the problems and potential of working with digital tools, and we propose a system using colour printing and scanning technology that simplifies the process of moving music documents between the two domains.",NZL,education,Developed economies,"[-23.166243, 32.35572]","[24.409008, 28.852146]","[-23.663504, 5.751279, -19.485672]","[5.2053246, -2.6449265, 23.809925]","[14.42902, 7.65641]","[10.7779455, 0.7174108]","[14.55399, 14.062808, -2.2484498]","[11.432012, 4.925524, 12.566525]"
23,Mary Levering,"Intellectual Property Rights in Musical Works: Overview, Digital Library Issues and Related Initiatives.",2000,https://doi.org/10.5281/zenodo.1416786,Mary Levering+U.S. Copyright Office>USA>facility,"Our nation’s Founding Fathers incorporated copyright principles into the U.S. Constitution in order to foster the creation and dissemination of intellectual works for the public good. The federal copyright law supports these goals by permitting authors to reap rewards from their creative efforts for limited periods of time, while also benefitting subsequent creators by allowing them to use and build on prior works under certain circumstances. Thus, in order to stimulate originality and creativity, creators and owners of musical works are granted an exclusive bundle of rights in their copyrighted musical works for the enrichment of our society. Awareness of these rights is essential for all potential users, even for academics and scholars who wish to use these musical works for educational or other research purposes. Many musical works, especially those embodied in phonorecords, CD-ROMs and other audio-visual formats, have multiple layers of intellectual property rights involved. Scholars and institutions must respect these rights when digitizing, transmitting, retrieving or otherwise using copyrighted musical works in electronic formats. Even when underlying musical compositions are in the public domain, the version being used may include new copyrightable authorship that must be considered. Such authorship could include new arrangements, revised lyrics or music, other editorial revisions of the musical work itself, or—where the work is fixed as a series of sounds—it could include all or some new sounds, a remix of sounds, and so forth.  Understanding concepts such as (1) the whole range of rightsholders’ exclusive rights in musical works, (2) the statutory limitations on these rights, including how the Fair Use doctrine can be applied reasonably for educational and scholarly purposes, (3) when authorization is needed, (4) who the rightsholders are, and (5) how to secure required permissions efficiently and easily, have all become increasingly important.",USA,facility,Developed economies,"[-25.31823, 26.169703]","[25.0421, 40.664543]","[-20.787596, 6.5714684, -12.219215]","[-0.7288918, 8.293602, 26.296135]","[14.656441, 7.863552]","[11.14471, 0.32327533]","[14.639123, 14.58915, -2.2705421]","[11.836839, 4.491305, 12.026153]"
22,Steve Larson,"Searching for Meaning: Melodic Patterns, Combinations, and Embellishments.",2000,https://doi.org/10.5281/zenodo.1415738,Steve Larson+University of Oregon>USA>education,"I am interested in the search for musical patterns -- not so much because I want to find particular patterns, but because I want to understand musical meaning and I believe that musical meaning is something that listeners create when they relate musical patterns to one another, and when they relate musical patterns to other sorts of patterns.     I describe a theory of musical meaning that argues that experienced listeners of tonal music hear musical motion metaphorically, as purposeful action within a dynamic field of musical forces (musical gravity, magnetism, and inertia). That theory has been used to clarify issues in Schenkerian theory, to analyze music in many styles, to improve the training of musicians, to account for experimental results in melodic expectation, to explain striking regularities in published analyses of tonal music, and even to illuminate the phenomenon of ""swing"" in jazz.     The assumptions of that theory generate a small set of patterns and pattern combinations. This small set of patterns crops up over and over again in tonal music. Recognizing these patterns and their significance requires seeing how they are embellished in particular pieces. I illustrate these patterns, their combinations and embellishments, and something about their meaning by analyzing several folk songs, including ""Ah, vous dirai-je, Maman"" and Mozart's variations on it.     The ubiquity of this small set of patterns raises interesting questions about searching for musical patterns, about the role of computers in information retrieval vs their role in musical artificial intelligence, and about musical meaning. My presentation ends with a series of such questions.",USA,education,Developed economies,"[5.4595075, 20.246162]","[-0.3218141, 15.919038]","[3.2308254, 2.9400306, 2.1860154]","[-5.6704974, -7.10618, 7.955931]","[12.141989, 9.810328]","[8.680236, 1.6961843]","[12.659465, 15.360146, -0.89833033]","[10.271118, 6.749064, 12.347376]"
